cast_total_facebook_likes;imdb_score
170118;6,4
140268;6
137712;5,7
120797;6
108016;5,4
106759;8,5
103354;6,6
101383;5,8
92456;5,6
92000;7,5
91434;8
89263;6,7
88953;7
88422;4,9
87697;8,1
87697;8,1
83012;7,3
81385;6,6
81385;6,7
81115;8,8
80849;6,2
80806;6,4
79957;6,5
79957;6,5
79150;7,2
77823;6,7
77046;6,4
75793;6,6
74382;6,7
74181;5,6
73441;6,4
73441;6,4
72881;6,1
72115;7,8
71973;5,7
70996;6,5
69746;7,8
64798;8,2
64599;7
64259;6,7
64040;4,6
63986;8,5
63769;7
63710;8,3
63194;6,7
63165;6
62837;6
62644;5,9
61110;7,2
60683;7,4
60646;7,1
60059;7
59803;7,1
59558;8,3
59177;5,5
59177;5,5
58823;7,8
58753;7,5
58528;6,3
57881;6,7
57844;6,7
57802;9
57426;7,4
